Prince of Persia - Le sabbie del tempo,2010
Prisoners,2013
Professione assassino,2011
Profumo - Storia di un assassino,2006
Project Power,2020
Project X - Una festa che spacca,2012
Promised Land,2012
Proof - La prova,2005
Prossima fermata: l'inferno,2008
Prova a incastrarmi,2006
Psycho,1998
Psycho II,1983
Psyco,1960
Pulse,2006
Punisher - Zona di guerra,2008
Punto zero,1971
Pupazzi senza gloria,2018
Qua la zampa!,2017
Qualcosa è cambiato,1997
Qualcosa di speciale,2009
Qualcuno volò sul nido del cuculo,1975
Quando la moglie è in vacanza,1955
Quarantena,2008
Quel che sapeva Maisie,2012
Quel fantastico peggior anno della mia vita,2015
Quel momento imbarazzante,2014
Quel mostro di suocera,2005
Quell'idiota di nostro fratello,2011
Quello che so sull'amore,2012
Questi sono i 40,2012
Questione di tempo,2013
Quinto potere,1976
R.I.P.D. - Poliziotti dall'aldilà,2013
Rabbit Hole,2010
Racconti incantati,2008
Rachel sta per sposarsi,2008
Radio Killer,2001
Ragazzi perduti,1987
Ralph spacca Internet,2018
Ralph Spaccatutto,2012
Rambo,1982
Rampart,2011
Rango,2011
Rapina a mano armata,1956
Rapunzel: L'intreccio della torre,2010
Rat Race,2001
Ray,2004
Re della terra selvaggia,2012
Re per una notte,1982
Ready Player One,2018
Red Lights,2012
Red State,2011
Regali da uno sconosciuto - The Gift,2015
Regression,2015
Reign Over Me,2007
Relic - L'evoluzione del terrore,1997
Repo! The Genetic Opera,2008
Repulsion,1965
Requiem for a Dream,2000
Reservation Road,2007
Resident Evil,2002
Resident Evil: Apocalypse,2004
Resident Evil: Extinction,2007
Resident Evil: The Final Chapter,2016
Resta anche domani,2014
Revolutionary Road,2008
Ribelle: The Brave,2012
Ricatto d'amore,2009
Richard Jewell,2019
Riddick,2013
RoboCop,1987
RoboCop 2,1990
Robot & Frank,2012
Rock of Ages,2012
Rocketman,2019
Rocky,1976
Rogue,2007
Rogue One: A Star Wars Story,2016
Role Models,2008
Rollerball,1975
Romeo + Giulietta di William Shakespeare,1996
Room,2015
Rosemary's Baby - Nastro rosso a New York,1968
Rubber,2010
Run All Night - Una notte per sopravvivere,2015
Run Fatboy Run,2007
S.O.S. fantasmi,1988
S.Y.N.A.P.S.E. - Pericolo in rete,2001
S1m0ne,2002
Safety Not Guaranteed,2012
San Andreas,2015
San Valentino di sangue,2009
Sanctum,2011
Sangue blu,1949
Sapori e dissapori,2007
Sausage Party - Vita segreta di una salsiccia,2016
Saved! Il paradiso ci aiuta,2004
Saving Mr. Banks,2013
Saw - L'enigmista,2004
Saw 3D - Il capitolo finale,2010
Saw II - La soluzione dell'enigma,2005
Saw III - L'enigma senza fine,2006
Saw IV,2007
Saw V - Non crederai ai tuoi occhi,2008
Saw VI,2009
Saw: Legacy,2017
Sballati per le feste!,2015
Scanners,1981
